cdscode,county,district,school,latitude,longitude,graduation_rate,low_grad_rate,still_enrolled_rate,chronicabsenteeismrate,unexcused_absences_percent,met_uccsu_grad_reqs_rate,percent__eligible_free_k12,frpm_count_k12,stu_tch_ratio,pct_experienced,cohortstudents,pct_senior_cohort,stu_adm_ratio,grade_retention_ratio,pct_bachelors_plus,stu_psv_ratio,pct_bachelors
05615560532507,Calaveras,Bret Harte Union High,Bret Harte Union High,38.081079,-120.55182,98.4,0,0.0,21.6,40.0,37.4,0.32166666666666666,194.0,17.3,0.9047619047619048,125.0,0.435,221.4,0.6551724137931034,0.35714285714285715,274.7,0.11904761904761904
05615640531509,Calaveras,Calaveras Unified,Calaveras High,38.200477,-120.68382,94.7,0,0.6,52.9,36.7,31.5,0.35512820512820514,305.0,22.0,0.894522892597347,171.0,0.42948717948717946,414.0,0.6905829596412556,0.26413324544947525,274.7,0.16666666666666666
06615980631259,Colusa,Colusa Unified,Colusa High,39.200800,-122.02070,100.0,0,0.0,14.5,34.4,51.9,0.48372093023255813,226.0,21.6,0.88,81.0,0.4116279069767442,307.1,0.5972222222222222,0.6,274.7,0.16
06616060634758,Colusa,Maxwell Unified,Maxwell Sr High,39.276200,-122.20354,95.0,0,0.0,11.0,39.4,26.3,0.5656565656565656,65.0,10.2,0.7692307692307693,20.0,0.47474747474747475,414.0,0.7931034482758621,0.6153846153846154,274.7,0.07692307692307693
06616140635250,Colusa,Pierce Joint Unified,Pierce High,39.009385,-122.05599,96.3,0,0.0,12.1,37.4,33.3,0.5591182364729459,325.0,20.2,0.7333333333333333,109.0,0.4348697394789579,332.7,0.7910447761194029,0.5,499.0,0.26666666666666666
07616300730283,Contra Costa,Acalanes Union High,Acalanes High,37.904313,-122.09906,98.2,0,0.0,5.1,33.5,78.1,0.05886970172684458,78.0,18.4,0.8352941176470589,325.0,0.510989010989011,424.7,1.0506329113924051,0.38823529411764707,135.5,0.07058823529411765
07616300731125,Contra Costa,Acalanes Union High,Campolindo High,37.863519,-122.12464,99.2,0,0.0,1.2,22.6,83.8,0.04399701715137957,62.0,18.6,0.8181818181818182,362.0,0.4966442953020134,335.3,1.0984615384615384,0.38636363636363635,188.9,0.11363636363636363
07616300733725,Contra Costa,Acalanes Union High,Las Lomas High,37.890139,-122.05741,96.8,0,0.3,15.6,32.0,73.1,0.11216730038022814,185.0,18.8,0.8598130841121495,400.0,0.5044359949302915,438.3,0.9656862745098039,0.411214953271028,164.4,0.1308411214953271
07616300734244,Contra Costa,Acalanes Union High,Miramonte High,37.842329,-122.14438,98.6,0,0.0,1.2,24.3,90.4,0.044801352493660185,54.0,18.6,0.810126582278481,296.0,0.4995773457311919,394.3,1.0363036303630364,0.35443037974683544,136.0,0.11392405063291139
07616480730465,Contra Costa,Antioch Unified,Deer Valley High,37.965730,-121.77968,93.1,0,0.2,18.4,48.7,25.8,0.45276497695852536,884.0,21.5,0.8604651162790697,421.0,0.4890552995391705,347.2,1.1318407960199004,0.36046511627906974,578.7,0.11627906976744186
07616480730861,Contra Costa,Antioch Unified,Antioch High,38.006279,-121.81595,88.0,1,0.7,20.2,67.7,22.0,0.5727128503437334,1209.0,22.2,0.9325842696629213,433.0,0.45690111052353255,429.8,0.7352941176470589,0.39325842696629215,630.3,0.20224719101123595
07616970737023,Contra Costa,John Swett Unified,John Swett High,38.052381,-122.22105,89.5,1,0.0,7.2,38.2,51.8,0.456,210.0,16.7,0.9032258064516129,95.0,0.4746666666666667,220.6,0.9139784946236559,0.3225806451612903,170.5,0.1935483870967742
